Player ID,Player Name,Weight (kg),Height (cm),Position,Salary,Points,Total Rebounds,Assists,Steals,Blocks
375,Michael Porter Jr.,98.88,208.28,F,2419,12,12,2,2,0
177,Aaron Gordon,106.59,203.2,F,2295,15,7,5,2,1
246,Nikola Jokic,128.82,210.82,C,3009,29,13,11,1,1
81,Kentavious Caldwell-Pope,92.53,195.58,G,2035,20,2,1,3,1
335,Jamal Murray,97.52,193.04,G,4039,21,2,6,0,1
38017709,Christian Braun,99.79,198.12,G,1127,5,3,2,0,1
38017727,Collin Gillespie,88.45,185.42,G,1122,0,0,0,0,0
215,Justin Holiday,81.65,198.12,F-G,1098,0,0,0,0,0
236,Reggie Jackson,94.35,187.96,G,1101,8,3,1,1,0
250,DeAndre Jordan,120.2,210.82,C,1099,0,0,0,0,0
17896007,Braxton Key,102.06,203.2,G,1012,0,0,0,0,0
3547268,Zeke Nnaji,108.86,205.74,F-C,1191,4,0,1,0,0
56677582,Jalen Pickett,91.63,187.96,G,1281,2,0,0,0,0
56677776,Julian Strawther,92.99,198.12,G,1736,0,0,0,0,0
38017721,Peyton Watson,90.72,200.66,G,1869,3,0,0,0,1
666489,Vlatko Cancar,107.05,203.2,F,2301,0,0,0,0,0
17896103,Jay Huff,108.86,215.9,F-C,1688,0,0,0,0,0
56677871,Hunter Tyson,97.52,203.2,F,2441,0,0,0,0,0
383,Taurean Prince,98.88,198.12,F,2141,18,3,1,0,1
237,LeBron James,113.4,205.74,F,4029,21,8,5,1,0
117,Anthony Davis,114.76,208.28,F-C,1435,17,8,4,0,2
17553995,Austin Reaves,89.36,195.58,G,1266,14,8,4,2,0
405,D'Angelo Russell,87.54,190.5,G,1025,11,4,7,1,0
38017697,Max Christie,86.18,195.58,G,1875,0,0,0,0,0
666609,Rui Hachimura,104.33,203.2,F,1844,6,3,0,0,0
666626,Jaxson Hayes,99.79,213.36,C,1482,0,1,0,0,0
56677836,Maxwell Lewis,88.45,200.66,F,1162,0,0,0,0,0
666860,Cameron Reddish,98.43,200.66,F-G,2496,7,4,0,0,1
1603383,Gabe Vincent,90.72,187.96,G,1386,6,1,2,1,0
486,Christian Wood,97.07,203.2,F,1979,7,4,0,0,0
56677738,Colin Castleton,113.4,208.28,C,1337,0,0,0,0,0
56677867,Alex Fudge,90.72,203.2,F,1730,0,0,0,0,0
56677868,D'Moi Hodge,85.28,190.5,G,2134,0,0,0,0,0
56677835,Jalen Hood-Schifino,97.52,195.58,G,1971,0,0,0,0,0
457,Jarred Vanderbilt,97.07,203.2,F,2318,0,0,0,0,0
443,Klay Thompson,99.79,198.12,G,1308,15,7,3,0,1
475,Andrew Wiggins,89.36,200.66,F-G,1738,10,1,0,0,1
282,Kevon Looney,100.7,205.74,F,1854,7,11,1,0,0
367,Chris Paul,79.38,182.88,G,1747,14,6,9,2,0
115,Stephen Curry,83.91,187.96,G,3797,27,5,1,1,0
56677799,Trayce Jackson-Davis,111.13,205.74,F,1572,0,0,0,0,0
251,Cory Joseph,90.72,190.5,G,1255,0,1,1,0,0
17553979,Jonathan Kuminga,102.06,200.66,F,1480,12,6,1,2,1
17553992,Moses Moody,95.71,195.58,G,1874,11,3,0,3,1
2189,Gary Payton II,88.45,187.96,,1503,1,2,2,3,0
56677858,Brandin Podziemski,92.99,193.04,G,1768,0,0,0,0,0
407,Dario Saric,102.06,208.28,F,1694,7,7,1,0,2
17896070,Usman Garuba,103.87,203.2,F,2305,0,0,0,0,0
185,Draymond Green,104.33,198.12,F,1134,0,0,0,0,0
45658838,Lester Quinones,94.35,193.04,G,1618,0,0,0,0,0
398,Jerome Robinson,86.18,195.58,G,1690,0,0,0,0,0
356,Josh Okogie,96.62,193.04,G,2011,17,5,1,1,0
140,Kevin Durant,108.86,210.82,F,1532,18,10,3,0,1
349,Jusuf Nurkic,131.54,213.36,C,1210,14,14,3,0,1
8,Grayson Allen,89.81,193.04,G,1701,0,4,2,0,0
57,Devin Booker,93.44,198.12,G,3925,32,6,8,1,0
3547095,Udoka Azubuike,122.47,210.82,C-F,1987,0,0,0,0,0
32,Keita Bates-Diop,103.87,203.2,F,1871,0,0,0,0,0
666451,Bol Bol,99.79,220.98,C,1057,0,0,0,0,0
147,Drew Eubanks,111.13,208.28,F,2098,4,8,2,0,3
18678058,Jordan Goodwin,90.72,193.04,,1547,2,4,3,1,0
178,Eric Gordon,97.52,190.5,G,2097,10,4,1,1,1
3547298,Saben Lee,83.01,187.96,G,1073,0,0,0,0,0
666729,Nassir Little,99.79,198.12,F,2496,3,1,0,1,0
314,Chimezie Metu,102.06,208.28,F,1629,0,0,0,0,0
470,Yuta Watanabe,97.52,205.74,G,2324,8,4,0,0,1
37,Bradley Beal,93.89,193.04,G,2065,0,0,0,0,0
272,Damion Lee,95.25,198.12,G,1298,0,0,0,0,0
666423,RJ Barrett,97.07,198.12,F-G,3515,24,3,2,1,0
387,Julius Randle,113.4,203.2,F,1985,14,11,7,2,0
399,Mitchell Robinson,108.86,213.36,C,1561,2,6,1,2,0
73,Jalen Brunson,86.18,187.96,G,1734,15,3,6,3,0
17895858,Quentin Grimes,95.25,195.58,G,2224,11,1,0,0,0
19,Ryan Arcidiacono,88.45,190.5,G,1570,0,0,0,0,0
131,Donte DiVincenzo,92.08,193.04,G,1748,0,3,2,0,0
160,Evan Fournier,92.99,198.12,G-F,1528,0,0,0,0,0
202,Josh Hart,97.52,193.04,G,2309,7,6,0,0,0
201,Isaiah Hartenstein,113.4,213.36,F-C,1793,7,8,2,0,0
666675,DaQuan Jeffries,100.7,195.58,F,1303,0,0,0,0,0
17896033,Miles McBride,88.45,185.42,G,1340,0,0,0,0,0
3547269,Immanuel Quickley,86.18,187.96,G,4202,24,6,4,1,0
17896063,Jericho Sims,113.4,208.28,F,2137,0,0,0,0,0
666971,Dylan Windler,88.9,200.66,G-F,2338,0,0,0,0,0
666474,Charles Brown,90.26,198.12,G,1331,0,0,0,0,0
56677795,Jacob Toppin,90.72,203.2,F,1023,0,0,0,0,0
17896089,Duane Washington Jr.,89.36,187.96,G,2435,0,0,0,0,0
70,Jaylen Brown,101.15,198.12,G,1736,11,6,5,1,0
434,Jayson Tatum,95.25,203.2,F,3074,34,11,4,2,1
378,Kristaps Porzingis,108.86,218.44,F-C,4496,30,8,0,0,4
214,Jrue Holiday,92.99,193.04,G,1368,9,4,2,0,3
473,Derrick White,86.18,193.04,G,2466,12,6,2,2,1
17896094,Dalano Banton,92.53,203.2,G,1647,0,0,0,0,0
666468,Oshae Brissett,95.25,200.66,F,1644,0,0,0,0,0
17896060,Sam Hauser,98.43,200.66,F,2153,0,2,0,1,1
219,Al Horford,108.86,205.74,C-F,1723,8,7,2,0,0
261,Luke Kornet,113.4,215.9,F-C,2090,0,1,2,0,1
338,Svi Mykhailiuk,92.99,200.66,G,2112,0,0,0,0,0
3547276,Payton Pritchard,88.45,185.42,G,1548,4,1,1,0,0
17553967,Neemias Queta,112.49,213.36,C,1898,0,0,0,0,0
3547279,Lamar Stevens,104.33,200.66,F,1194,0,0,0,0,0
38017707,JD Davison,88.45,185.42,G,2161,0,0,0,0,0
3547295,Nathan Knight,114.76,203.2,F-C,1428,0,0,0,0,0
17896026,Franz Wagner,99.79,208.28,F,2480,17,3,2,1,0
38017683,Paolo Banchero,113.4,208.28,F,1174,12,5,5,1,0
85,Wendell Carter Jr.,122.47,208.28,F,1958,8,8,1,2,0
17896073,Jalen Suggs,92.99,195.58,G,1512,8,4,0,0,0
165,Markelle Fultz,94.8,193.04,G,2112,10,4,2,3,0
3547251,Cole Anthony,83.91,187.96,G,2193,20,8,2,0,0
666442,Goga Bitadze,113.4,208.28,C,2223,7,3,0,0,0
56677827,Anthony Black,90.72,200.66,G,1974,5,0,1,0,2
196,Gary Harris,95.25,193.04,G,2478,11,6,0,0,1
38017724,Caleb Houstan,92.99,203.2,G,2484,3,1,0,0,0
56677839,Jett Howard,97.52,198.12,G,1667,0,0,1,1,0
226,Joe Ingles,99.79,205.74,F,2144,0,4,5,0,0
229,Jonathan Isaac,104.33,208.28,F,2004,11,4,0,0,1
666818,Chuma Okeke,103.87,200.66,F,1333,0,3,0,0,0
462,Moritz Wagner,111.13,210.82,C,2334,4,3,0,0,1
38017607,Kevon Harris,97.98,195.58,G,2134,0,0,0,0,0
17553983,Trevelin Queen,86.18,195.58,G,2029,0,0,0,0,0
666885,Admiral Schofield,109.32,195.58,F,2206,0,0,0,0,0
66,Dillon Brooks,102.06,198.12,G-F,1992,14,4,2,1,0
38017684,Jabari Smith Jr.,99.79,210.82,F,1359,7,5,1,1,0
17896062,Alperen Sengun,110.22,210.82,F-C,1050,14,8,6,0,0
17895966,Jalen Green,84.37,193.04,G,2490,10,1,0,1,1
458,Fred VanVleet,89.36,182.88,G,1076,14,1,5,1,0
75,Reggie Bullock,92.99,198.12,G-F,1419,3,1,0,1,1
188,Jeff Green,106.59,203.2,F,1539,4,3,1,0,0
213,Aaron Holiday,83.91,182.88,G,2259,0,0,0,0,0
19465326,Jock Landale,115.67,210.82,C,1565,3,0,2,0,0
296,Boban Marjanovic,131.54,223.52,C,2494,0,0,0,0,0
56677809,Jermaine Samuels Jr.,104.33,198.12,F,1341,0,0,0,0,0
3547301,Jae'Sean Tate,104.33,193.04,F,1015,5,2,0,1,1
56677825,Amen Thompson,90.72,200.66,G-F,2406,8,5,2,0,0
56677831,Cam Whitmore,104.33,200.66,F,2325,0,1,0,0,0
47738533,Jeenathan Williams,92.99,195.58,G,2469,4,0,0,0,0
38017695,Tari Eason,97.52,203.2,F,1610,0,0,0,0,0
3547281,Nate Hinton,95.25,195.58,G-F,1408,0,0,0,0,0
357,Victor Oladipo,96.62,190.5,G,1707,0,0,0,0,0
69,Bruce Brown,91.63,193.04,G,3451,24,3,1,1,0
3547243,Obi Toppin,99.79,205.74,F,1168,11,4,1,1,0
452,Myles Turner,113.4,210.82,C-F,1945,11,8,1,0,3
38017686,Bennedict Mathurin,95.25,195.58,G-F,1897,18,4,5,2,0
